date,description,amount
2026-04-07,Thai Basil,-18.66
2026-04-08,Spotify Premium Subscription,-11.99
2026-04-09,Sinclair Fuel #807,-43.47
2026-04-11,NY Times Digital Subscription,-17.00
2026-04-11,Illegal Pete's,-43.68
2026-04-12,Comcast Xfinity Internet,-89.99
2026-04-13,Prime Video Subscription,-9.99
2026-04-14,Payroll - Front Range SD12,3508.13
2026-04-17,Anytime Fitness Gym Dues,-39.00
2026-04-18,State Farm Auto Insurance,-182.00
2026-04-19,CloudVault Backup (auto-renew),-7.99
2026-04-20,Granite Peak Brokerage Transfer,-500.00
2026-04-21,Streamz+ Subscription,-13.99
2026-04-21,Trader Joe's #949 Groceries,-228.38
2026-04-22,Shell Fuel #743,-40.41
2026-04-25,Whole Foods Market #466 Groceries,-86.06
2026-04-26,Sapphire Card Autopay xxxx4087,-650.00
2026-04-26,Whole Foods Market #551 Groceries,-55.10
2026-04-27,Spirit Halloween,-71.53
2026-04-27,Crate & Barrel,-95.28
2026-05-01,Summit Peak Mortgage - Pmt,-2650.00
2026-05-02,Payroll - Mesa Verde Health Sys,4783.54
2026-05-03,Whole Foods Market #926 Groceries,-103.47
2026-05-04,CollegeInvest 529 Contribution,-400.00
2026-05-05,Xcel Energy Utilities,-184.05
2026-05-06,Netflix Subscription,-24.99
2026-05-06,Postino WineCafe,-79.47
2026-05-07,Sinclair Fuel #881,-65.47
2026-05-08,Spotify Premium Subscription,-11.99
2026-05-08,Etsy Purchase,-68.55
2026-05-09,Tocabe,-31.17
2026-05-10,Phillips 66 Fuel #717,-81.14
2026-05-11,NY Times Digital Subscription,-17.00
2026-05-12,Comcast Xfinity Internet,-89.99
2026-05-13,Prime Video Subscription,-9.99
2026-05-13,Best Buy #221,-93.75
2026-05-14,Payroll - Front Range SD12,3508.13
2026-05-17,Anytime Fitness Gym Dues,-39.00
2026-05-18,State Farm Auto Insurance,-182.00
2026-05-19,CloudVault Backup (auto-renew),-7.99
2026-05-20,Granite Peak Brokerage Transfer,-500.00
2026-05-21,Streamz+ Subscription,-13.99
2026-05-21,Target Grocery #325 Groceries,-61.61
2026-05-23,Noodles & Co,-58.63
2026-05-26,Sapphire Card Autopay xxxx4087,-650.00
2026-05-26,Whole Foods Market #531 Groceries,-108.18
2026-06-01,Summit Peak Mortgage - Pmt,-2650.00
2026-06-02,Payroll - Mesa Verde Health Sys,4783.54
2026-06-04,CollegeInvest 529 Contribution,-400.00
2026-06-05,Xcel Energy Utilities,-214.55
2026-06-06,Netflix Subscription,-24.99
2026-06-08,Spotify Premium Subscription,-11.99
2026-06-08,Conoco Fuel #997,-55.31
2026-06-09,Thornfield Univ Enrollment Dep,-500.00
2026-06-11,NY Times Digital Subscription,-17.00
2026-06-12,Comcast Xfinity Internet,-89.99
2026-06-12,Phillips 66 Fuel #965,-75.15
2026-06-12,Sushi Den,-20.24
2026-06-13,Prime Video Subscription,-9.99
2026-06-13,Best Buy #221,-107.47
2026-06-14,Payroll - Front Range SD12,3508.13
2026-06-16,Whole Foods Market #290 Groceries,-58.49
2026-06-17,Anytime Fitness Gym Dues,-39.00
2026-06-17,Cafe Mexicali,-45.44
2026-06-18,State Farm Auto Insurance,-182.00
2026-06-19,CloudVault Backup (auto-renew),-7.99
2026-06-19,Tocabe,-24.97
2026-06-20,Granite Peak Brokerage Transfer,-500.00
2026-06-20,Panera Bread,-60.90
2026-06-20,PetSmart - Vet Visit,-202.30
2026-06-21,Streamz+ Subscription,-13.99
2026-06-22,Natural Grocers #781 Groceries,-221.06
2026-06-22,King Soopers #205 Groceries,-87.60
2026-06-24,CVS Pharmacy,-9.74
2026-06-24,Pizza Republica Dine-In,-58.40
2026-06-25,Pizza Republica Dine-In,-58.40
2026-06-26,Sapphire Card Autopay xxxx4087,-650.00
2026-06-27,Reversal - Pizza Republica,58.40
